State,County,County/St,McCainVt,ObamaVt,McCainPt,ObamaPt,PtDiff8,PtDiffCrp8,PVI08,BushVt,KerryVt,BushPt,KerryPt,PtDiff4,PtDiffCrp4,PVI04,PVIShift,AdjShift,PtGOPChg,Cnty_US
Indiana,Wayne,"Wayne, IN ",14558,13459,51.96%,48.04%,3.92%,3.92%,10.09%,16586,10775,60.62%,39.38%,21.24%,21.24%,18.75%,-17.32%,-8.66%,-14.28%,-5.84%
Indiana,Wells,"Wells, IN ",8503,4403,65.88%,34.12%,31.77%,30.00%,37.93%,9168,3112,74.66%,25.34%,49.32%,30.00%,46.83%,-17.55%,-8.89%,-11.75%,-3.31%
Indiana,White,"White, IN ",5730,4839,54.22%,45.78%,8.43%,8.43%,14.60%,6974,3277,68.03%,31.97%,36.06%,30.00%,33.58%,-27.63%,-18.98%,-20.31%,-11.87%
Indiana,Whitley,"Whitley, IN ",9122,5861,60.88%,39.12%,21.76%,21.76%,27.93%,9512,3880,71.03%,28.97%,42.05%,30.00%,39.57%,-20.29%,-11.64%,-14.28%,-5.84%
Iowa,Adair,"Adair, IA ",2059,1920,51.75%,48.25%,3.49%,3.49%,9.66%,2402,1844,56.57%,43.43%,13.14%,13.14%,10.65%,-9.65%,-0.99%,-8.53%,-0.08%
Iowa,Adams,"Adams, IA ",1039,1113,48.28%,51.72%,-3.44%,-3.44%,2.73%,1317,977,57.41%,42.59%,14.82%,14.82%,12.33%,-18.26%,-9.61%,-15.90%,-7.46%
Iowa,Allamakee,"Allamakee, IA ",2961,3962,42.77%,57.23%,-14.46%,-14.46%,-8.29%,3530,3449,50.58%,49.42%,1.16%,1.16%,-1.33%,-15.62%,-6.97%,-15.44%,-7.00%
Iowa,Appanoose,"Appanoose, IA ",3081,2964,50.97%,49.03%,1.94%,1.94%,8.10%,3340,3063,52.16%,47.84%,4.33%,4.33%,1.84%,-2.39%,6.26%,-2.29%,6.15%
Iowa,Audubon,"Audubon, IA ",1631,1731,48.51%,51.49%,-2.97%,-2.97%,3.19%,1958,1608,54.91%,45.09%,9.81%,9.81%,7.33%,-12.79%,-4.14%,-11.65%,-3.20%
Iowa,Benton,"Benton, IA ",6431,7035,47.76%,52.24%,-4.49%,-4.49%,1.68%,6658,6747,49.67%,50.33%,-0.66%,-0.66%,-3.15%,-3.82%,4.83%,-3.85%,4.60%
Iowa,Black Hawk,"Black Hawk, IA ",24467,38564,38.82%,61.18%,-22.37%,-22.37%,-16.20%,28046,35392,44.21%,55.79%,-11.58%,-11.58%,-14.07%,-10.79%,-2.13%,-12.20%,-3.75%
Iowa,Boone,"Boone, IA ",6265,7333,46.07%,53.93%,-7.85%,-7.85%,-1.69%,6870,7027,49.44%,50.56%,-1.13%,-1.13%,-3.62%,-6.72%,1.93%,-6.80%,1.64%
Iowa,Bremer,"Bremer, IA ",5704,6870,45.36%,54.64%,-9.27%,-9.27%,-3.11%,6665,6025,52.52%,47.48%,5.04%,5.04%,2.56%,-14.32%,-5.66%,-13.63%,-5.19%
Iowa,Buchanan,"Buchanan, IA ",4131,6037,40.63%,59.37%,-18.75%,-18.75%,-12.58%,4797,5608,46.10%,53.90%,-7.79%,-7.79%,-10.28%,-10.95%,-2.30%,-11.88%,-3.43%
Iowa,Buena Vista,"Buena Vista, IA ",4217,4065,50.92%,49.08%,1.84%,1.84%,8.00%,4887,3520,58.13%,41.87%,16.26%,16.26%,13.77%,-14.42%,-5.77%,-12.41%,-3.96%
Iowa,Butler,"Butler, IA ",3686,3348,52.40%,47.60%,4.81%,4.81%,10.97%,4417,3001,59.54%,40.46%,19.09%,19.09%,16.60%,-14.28%,-5.63%,-11.99%,-3.55%
Iowa,Calhoun,"Calhoun, IA ",2747,2335,54.05%,45.95%,8.11%,8.11%,14.27%,3255,2243,59.20%,40.80%,18.41%,18.41%,15.92%,-10.30%,-1.65%,-8.70%,-0.26%
Iowa,Carroll,"Carroll, IA ",4905,5284,48.14%,51.86%,-3.72%,-3.72%,2.45%,5762,4689,55.13%,44.87%,10.27%,10.27%,7.78%,-13.99%,-5.33%,-12.68%,-4.24%
Iowa,Cass,"Cass, IA ",3990,3201,55.49%,44.51%,10.97%,10.97%,17.14%,4796,2679,64.16%,35.84%,28.32%,28.32%,25.83%,-17.35%,-8.70%,-13.52%,-5.08%
Iowa,Cedar,"Cedar, IA ",4278,5201,45.13%,54.87%,-9.74%,-9.74%,-3.57%,4869,4747,50.63%,49.37%,1.27%,1.27%,-1.22%,-11.01%,-2.35%,-10.87%,-2.42%
Iowa,Cerro Gordo,"Cerro Gordo, IA ",9344,14305,39.51%,60.49%,-20.98%,-20.98%,-14.81%,10960,13372,45.04%,54.96%,-9.91%,-9.91%,-12.40%,-11.06%,-2.41%,-12.28%,-3.84%
Iowa,Cherokee,"Cherokee, IA ",3365,2883,53.86%,46.14%,7.71%,7.71%,13.88%,3758,2988,55.71%,44.29%,11.41%,11.41%,8.93%,-3.70%,4.95%,-3.32%,5.12%
Iowa,Chickasaw,"Chickasaw, IA ",2536,3897,39.42%,60.58%,-21.16%,-21.16%,-14.99%,3040,3708,45.05%,54.95%,-9.90%,-9.90%,-12.39%,-11.26%,-2.60%,-12.49%,-4.05%
Iowa,Clarke,"Clarke, IA ",2112,2214,48.82%,51.18%,-2.36%,-2.36%,3.81%,2200,2323,48.64%,51.36%,-2.72%,-2.72%,-5.21%,0.36%,9.02%,0.37%,8.82%
Iowa,Clay,"Clay, IA ",4345,3908,52.65%,47.35%,5.30%,5.30%,11.46%,4898,3547,58.00%,42.00%,16.00%,16.00%,13.51%,-10.70%,-2.05%,-9.23%,-0.78%
Iowa,Clayton,"Clayton, IA ",3640,5714,38.91%,61.09%,-22.17%,-22.17%,-16.01%,4312,4736,47.66%,52.34%,-4.69%,-4.69%,-7.17%,-17.49%,-8.83%,-18.35%,-9.90%
Iowa,Clinton,"Clinton, IA ",9068,14733,38.10%,61.90%,-23.80%,-23.80%,-17.64%,10666,13813,43.57%,56.43%,-12.86%,-12.86%,-15.34%,-10.95%,-2.29%,-12.56%,-4.12%
Iowa,Crawford,"Crawford, IA ",3338,3697,47.45%,52.55%,-5.10%,-5.10%,1.06%,3955,3220,55.12%,44.88%,10.24%,10.24%,7.76%,-15.35%,-6.69%,-13.92%,-5.48%
Iowa,Dallas,"Dallas, IA ",16904,15101,52.82%,47.18%,5.63%,5.63%,11.80%,15183,10917,58.17%,41.83%,16.34%,16.34%,13.86%,-10.71%,-2.06%,-9.21%,-0.76%
Iowa,Davis,"Davis, IA ",2553,2262,53.02%,46.98%,6.04%,6.04%,12.21%,2148,1731,55.38%,44.62%,10.75%,10.75%,8.26%,-4.71%,3.95%,-4.25%,4.19%
Iowa,Decatur,"Decatur, IA ",2019,1983,50.45%,49.55%,0.90%,0.90%,7.07%,2088,1859,52.90%,47.10%,5.80%,5.80%,3.31%,-4.90%,3.75%,-4.63%,3.81%
Iowa,Delaware,"Delaware, IA ",4108,4603,47.16%,52.84%,-5.68%,-5.68%,0.48%,4908,4227,53.73%,46.27%,7.45%,7.45%,4.97%,-13.14%,-4.48%,-12.23%,-3.78%
Iowa,Des Moines,"Des Moines, IA ",7687,12396,38.28%,61.72%,-23.45%,-23.45%,-17.28%,8221,12456,39.76%,60.24%,-20.48%,-20.48%,-22.97%,-2.97%,5.69%,-3.73%,4.71%
Iowa,Dickinson,"Dickinson, IA ",5150,4609,52.77%,47.23%,5.54%,5.54%,11.71%,5337,4140,56.32%,43.68%,12.63%,12.63%,10.14%,-7.09%,1.57%,-6.29%,2.15%
Iowa,Dubuque,"Dubuque, IA ",16694,23791,41.24%,58.76%,-17.53%,-17.53%,-11.36%,20100,26561,43.08%,56.92%,-13.85%,-13.85%,-16.33%,-3.68%,4.97%,-4.28%,4.17%
Iowa,Emmet,"Emmet, IA ",2366,2565,47.98%,52.02%,-4.04%,-4.04%,2.13%,2697,2405,52.86%,47.14%,5.72%,5.72%,3.24%,-9.76%,-1.11%,-9.23%,-0.79%
Iowa,Fayette,"Fayette, IA ",4199,5889,41.62%,58.38%,-16.75%,-16.75%,-10.59%,5128,5185,49.72%,50.28%,-0.55%,-0.55%,-3.04%,-16.20%,-7.55%,-16.29%,-7.85%
Iowa,Floyd,"Floyd, IA ",3044,4797,38.82%,61.18%,-22.36%,-22.36%,-16.19%,3745,4349,46.27%,53.73%,-7.46%,-7.46%,-9.95%,-14.89%,-6.24%,-16.10%,-7.65%
Iowa,Franklin,"Franklin, IA ",2495,2566,49.30%,50.70%,-1.40%,-1.40%,4.76%,3128,2340,57.21%,42.79%,14.41%,14.41%,11.92%,-15.81%,-7.16%,-13.82%,-5.38%
Iowa,Fremont,"Fremont, IA ",2798,2490,52.91%,47.09%,5.82%,5.82%,11.99%,2362,1510,61.00%,39.00%,22.00%,22.00%,19.52%,-16.18%,-7.53%,-13.26%,-4.82%
Iowa,Greene,"Greene, IA ",2340,2359,49.80%,50.20%,-0.40%,-0.40%,5.76%,2618,2459,51.57%,48.43%,3.13%,3.13%,0.64%,-3.54%,5.12%,-3.43%,5.01%
Iowa,Grundy,"Grundy, IA ",3936,2774,58.66%,41.34%,17.32%,17.32%,23.48%,4429,2386,64.99%,35.01%,29.98%,29.98%,27.49%,-12.66%,-4.01%,-9.74%,-1.30%
Iowa,Guthrie,"Guthrie, IA ",3025,2603,53.75%,46.25%,7.50%,7.50%,13.66%,3325,2614,55.99%,44.01%,11.97%,11.97%,9.48%,-4.47%,4.18%,-4.00%,4.45%
Iowa,Hamilton,"Hamilton, IA ",3909,3999,49.43%,50.57%,-1.14%,-1.14%,5.03%,4367,3895,52.86%,47.14%,5.71%,5.71%,3.22%,-6.85%,1.80%,-6.48%,1.96%
Iowa,Hancock,"Hancock, IA ",3008,2790,51.88%,48.12%,3.76%,3.76%,9.93%,3368,2484,57.55%,42.45%,15.11%,15.11%,12.62%,-11.35%,-2.69%,-9.86%,-1.41%
Iowa,Hardin,"Hardin, IA ",4301,4368,49.61%,50.39%,-0.77%,-0.77%,5.39%,4875,4015,54.84%,45.16%,9.67%,9.67%,7.19%,-10.45%,-1.79%,-9.53%,-1.08%
Iowa,Harrison,"Harrison, IA ",2906,3549,45.02%,54.98%,-9.96%,-9.96%,-3.80%,4680,2906,61.69%,38.31%,23.39%,23.39%,20.90%,-33.35%,-24.69%,-27.03%,-18.58%
Iowa,Henry,"Henry, IA ",5582,5306,51.27%,48.73%,2.53%,2.53%,8.70%,5220,4127,55.85%,44.15%,11.69%,11.69%,9.21%,-9.16%,-0.51%,-8.20%,0.24%
Iowa,Howard,"Howard, IA ",1721,2933,36.98%,63.02%,-26.04%,-26.04%,-19.88%,2028,2614,43.69%,56.31%,-12.62%,-12.62%,-15.11%,-13.42%,-4.76%,-15.36%,-6.91%
Iowa,Humboldt,"Humboldt, IA ",2881,2151,57.25%,42.75%,14.51%,14.51%,20.67%,3162,2146,59.57%,40.43%,19.14%,19.14%,16.65%,-4.63%,4.02%,-3.89%,4.55%
Iowa,Ida,"Ida, IA ",2025,1455,58.19%,41.81%,16.38%,16.38%,22.54%,2342,1415,62.34%,37.66%,24.67%,24.67%,22.19%,-8.29%,0.36%,-6.65%,1.79%
Iowa,Iowa,"Iowa, IA ",4173,4173,50.00%,50.00%,0.00%,0.00%,6.17%,4544,3841,54.19%,45.81%,8.38%,8.38%,5.90%,-8.38%,0.27%,-7.74%,0.71%
Iowa,Jackson,"Jackson, IA ",3662,6069,37.63%,62.37%,-24.74%,-24.74%,-18.57%,4242,5656,42.86%,57.14%,-14.29%,-14.29%,-16.77%,-10.45%,-1.80%,-12.19%,-3.75%
Iowa,Jasper,"Jasper, IA ",8750,10195,46.19%,53.81%,-7.63%,-7.63%,-1.46%,9462,10430,47.57%,52.43%,-4.87%,-4.87%,-7.35%,-2.76%,5.89%,-2.90%,5.54%
Iowa,Jefferson,"Jefferson, IA ",3321,5028,39.78%,60.22%,-20.45%,-20.45%,-14.28%,3648,4490,44.83%,55.17%,-10.35%,-10.35%,-12.83%,-10.10%,-1.45%,-11.26%,-2.82%
Iowa,Johnson,"Johnson, IA ",20639,50708,28.93%,71.07%,-42.14%,-30.00%,-35.98%,22715,41847,35.18%,64.82%,-29.63%,-29.63%,-32.12%,-12.51%,-3.86%,-17.78%,-9.34%
Iowa,Jones,"Jones, IA ",4398,5431,44.75%,55.25%,-10.51%,-10.51%,-4.34%,4834,5054,48.89%,51.11%,-2.22%,-2.22%,-4.71%,-8.28%,0.37%,-8.47%,-0.03%
Iowa,Keokuk,"Keokuk, IA ",2703,2508,51.87%,48.13%,3.74%,3.74%,9.91%,3119,2294,57.62%,42.38%,15.24%,15.24%,12.75%,-11.50%,-2.85%,-9.98%,-1.53%
Iowa,Kossuth,"Kossuth, IA ",4310,4609,48.32%,51.68%,-3.35%,-3.35%,2.81%,5042,4132,54.96%,45.04%,9.92%,9.92%,7.43%,-13.27%,-4.62%,-12.07%,-3.63%
Iowa,Lee,"Lee, IA ",6724,9470,41.52%,58.48%,-16.96%,-16.96%,-10.79%,7472,10152,42.40%,57.60%,-15.21%,-15.21%,-17.69%,-1.75%,6.90%,-2.06%,6.38%
Iowa,Linn,"Linn, IA ",43384,67476,39.13%,60.87%,-21.73%,-21.73%,-15.57%,49442,60442,44.99%,55.01%,-10.01%,-10.01%,-12.50%,-11.72%,-3.07%,-13.03%,-4.58%
Iowa,Louisa,"Louisa, IA ",2310,2510,47.93%,52.07%,-4.15%,-4.15%,2.02%,2572,2297,52.82%,47.18%,5.65%,5.65%,3.16%,-9.80%,-1.14%,-9.27%,-0.83%
Iowa,Lucas,"Lucas, IA ",2329,2024,53.50%,46.50%,7.01%,7.01%,13.17%,2543,1987,56.14%,43.86%,12.27%,12.27%,9.79%,-5.27%,3.39%,-4.69%,3.75%
Iowa,Lyon,"Lyon, IA ",4461,1673,72.73%,27.27%,45.45%,30.00%,51.62%,4751,1303,78.48%,21.52%,56.95%,30.00%,54.47%,-11.50%,-2.85%,-7.33%,1.11%
Iowa,Madison,"Madison, IA ",4525,3702,55.00%,45.00%,10.00%,10.00%,16.17%,4538,3380,57.31%,42.69%,14.62%,14.62%,12.14%,-4.62%,4.03%,-4.03%,4.41%
Iowa,Mahaska,"Mahaska, IA ",6249,4450,58.41%,41.59%,16.81%,16.81%,22.98%,6858,3790,64.41%,35.59%,28.81%,28.81%,26.32%,-12.00%,-3.34%,-9.31%,-0.87%
Iowa,Marion,"Marion, IA ",9232,7408,55.48%,44.52%,10.96%,10.96%,17.13%,9990,6574,60.31%,39.69%,20.62%,20.62%,18.14%,-9.66%,-1.01%,-8.01%,0.43%
Iowa,Marshall,"Marshall, IA ",8229,9918,45.35%,54.65%,-9.31%,-9.31%,-3.14%,9557,9443,50.30%,49.70%,0.60%,0.60%,-1.89%,-9.91%,-1.25%,-9.85%,-1.40%
Iowa,Mills,"Mills, IA ",4177,2970,58.44%,41.56%,16.89%,16.89%,23.05%,4556,2308,66.38%,33.62%,32.75%,30.00%,30.26%,-15.86%,-7.21%,-11.95%,-3.51%
Iowa,Mitchell,"Mitchell, IA ",2465,3175,43.71%,56.29%,-12.59%,-12.59%,-6.42%,2646,2785,48.72%,51.28%,-2.56%,-2.56%,-5.05%,-10.03%,-1.38%,-10.29%,-1.85%
Iowa,Monona,"Monona, IA ",2407,2284,51.31%,48.69%,2.62%,2.62%,8.79%,2575,2397,51.79%,48.21%,3.58%,3.58%,1.09%,-0.96%,7.70%,-0.92%,7.52%
Iowa,Monroe,"Monroe, IA ",1997,1793,52.69%,47.31%,5.38%,5.38%,11.55%,2067,1855,52.70%,47.30%,5.41%,5.41%,2.92%,-0.02%,8.63%,-0.02%,8.42%
Iowa,Montgomery,"Montgomery, IA ",2878,2318,55.39%,44.61%,10.78%,10.78%,16.94%,3601,1899,65.47%,34.53%,30.95%,30.00%,28.46%,-20.17%,-11.51%,-15.40%,-6.96%
Iowa,Muscatine,"Muscatine, IA ",7907,10850,42.15%,57.85%,-15.69%,-15.69%,-9.52%,9020,9542,48.59%,51.41%,-2.81%,-2.81%,-5.30%,-12.88%,-4.22%,-13.25%,-4.81%
Iowa,O'Brien,"O'Brien, IA ",4883,2333,67.67%,32.33%,35.34%,30.00%,41.50%,5328,2330,69.57%,30.43%,39.15%,30.00%,36.66%,-3.81%,4.84%,-2.74%,5.70%
Iowa,Osceola,"Osceola, IA ",2027,1037,66.16%,33.84%,32.31%,30.00%,38.48%,2295,934,71.07%,28.93%,42.15%,30.00%,39.66%,-9.84%,-1.19%,-6.92%,1.52%
Iowa,Page,"Page, IA ",4344,2892,60.03%,39.97%,20.07%,20.07%,26.23%,5243,2211,70.34%,29.66%,40.68%,30.00%,38.19%,-20.61%,-11.96%,-14.65%,-6.21%
Iowa,Palo Alto,"Palo Alto, IA ",2290,2420,48.62%,51.38%,-2.76%,-2.76%,3.41%,2674,2482,51.86%,48.14%,3.72%,3.72%,1.24%,-6.48%,2.17%,-6.25%,2.19%
Iowa,Plymouth,"Plymouth, IA ",7744,4564,62.92%,37.08%,25.84%,25.84%,32.00%,7810,4278,64.61%,35.39%,29.22%,29.22%,26.73%,-3.38%,5.27%,-2.62%,5.83%
Iowa,Pocahontas,"Pocahontas, IA ",2131,1794,54.29%,45.71%,8.59%,8.59%,14.75%,2441,1822,57.26%,42.74%,14.52%,14.52%,12.03%,-5.93%,2.72%,-5.18%,3.26%
Iowa,Polk,"Polk, IA ",88983,119569,42.67%,57.33%,-14.67%,-14.67%,-8.50%,95828,105218,47.66%,52.34%,-4.67%,-4.67%,-7.16%,-10.00%,-1.34%,-10.49%,-2.04%
Iowa,Pottawattamie,"Pottawattamie, IA ",21161,20226,51.13%,48.87%,2.26%,2.26%,8.42%,24558,16906,59.23%,40.77%,18.45%,18.45%,15.97%,-16.20%,-7.54%,-13.67%,-5.23%
Iowa,Poweshiek,"Poweshiek, IA ",4331,5441,44.32%,55.68%,-11.36%,-11.36%,-5.19%,4965,5043,49.61%,50.39%,-0.78%,-0.78%,-3.27%,-10.58%,-1.93%,-10.66%,-2.22%
Iowa,Ringgold,"Ringgold, IA ",1401,1236,53.13%,46.87%,6.26%,6.26%,12.42%,1466,1286,53.27%,46.73%,6.54%,6.54%,4.05%,-0.28%,8.37%,-0.27%,8.18%
Iowa,Sac,"Sac, IA ",2699,2237,54.68%,45.32%,9.36%,9.36%,15.53%,3128,2215,58.54%,41.46%,17.09%,17.09%,14.60%,-7.73%,0.93%,-6.60%,1.84%
Iowa,Scott,"Scott, IA ",36239,48675,42.68%,57.32%,-14.65%,-14.65%,-8.48%,39958,42122,48.68%,51.32%,-2.64%,-2.64%,-5.12%,-12.01%,-3.36%,-12.33%,-3.89%
Iowa,Shelby,"Shelby, IA ",3472,2847,54.95%,45.05%,9.89%,9.89%,16.06%,4256,2355,64.38%,35.62%,28.76%,28.76%,26.27%,-18.86%,-10.21%,-14.65%,-6.21%
Iowa,Sioux,"Sioux, IA ",13440,3010,81.70%,18.30%,63.40%,30.00%,69.57%,14229,2259,86.30%,13.70%,72.60%,30.00%,70.11%,-9.19%,-0.54%,-5.33%,3.12%
Iowa,Story,"Story, IA ",18812,26268,41.73%,58.27%,-16.54%,-16.54%,-10.37%,20819,23296,47.19%,52.81%,-5.61%,-5.61%,-8.10%,-10.92%,-2.27%,-11.57%,-3.13%
Iowa,Tama,"Tama, IA ",3813,4859,43.97%,56.03%,-12.06%,-12.06%,-5.90%,4456,4487,49.83%,50.17%,-0.35%,-0.35%,-2.83%,-11.72%,-3.06%,-11.76%,-3.31%
Iowa,Taylor,"Taylor, IA ",1602,1344,54.38%,45.62%,8.76%,8.76%,14.92%,1908,1252,60.38%,39.62%,20.76%,20.76%,18.27%,-12.00%,-3.35%,-9.94%,-1.50%
Iowa,Union,"Union, IA ",2774,2990,48.13%,51.87%,-3.75%,-3.75%,2.42%,3165,2747,53.54%,46.46%,7.07%,7.07%,4.58%,-10.82%,-2.16%,-10.10%,-1.66%
Iowa,Van Buren,"Van Buren, IA ",1980,1540,56.25%,43.75%,12.50%,12.50%,18.67%,2211,1568,58.51%,41.49%,17.02%,17.02%,14.53%,-4.52%,4.14%,-3.86%,4.58%
Iowa,Wapello,"Wapello, IA ",6466,8481,43.26%,56.74%,-13.48%,-13.48%,-7.32%,7403,9125,44.79%,55.21%,-10.42%,-10.42%,-12.91%,-3.06%,5.59%,-3.42%,5.02%
Iowa,Warren,"Warren, IA ",12112,12261,49.69%,50.31%,-0.61%,-0.61%,5.55%,12160,10730,53.12%,46.88%,6.25%,6.25%,3.76%,-6.86%,1.79%,-6.46%,1.99%
Iowa,Washington,"Washington, IA ",5228,5140,50.42%,49.58%,0.85%,0.85%,7.01%,5977,4595,56.54%,43.46%,13.07%,13.07%,10.58%,-12.22%,-3.57%,-10.81%,-2.37%
Iowa,Wayne,"Wayne, IA ",1563,1356,53.55%,46.45%,7.09%,7.09%,13.26%,1733,1379,55.69%,44.31%,11.38%,11.38%,8.89%,-4.28%,4.37%,-3.85%,4.60%
Iowa,Webster,"Webster, IA ",8299,9847,45.73%,54.27%,-8.53%,-8.53%,-2.37%,8959,9561,48.37%,51.63%,-3.25%,-3.25%,-5.74%,-5.28%,3.37%,-5.46%,2.99%
Iowa,Winnebago,"Winnebago, IA ",2726,3236,45.72%,54.28%,-8.55%,-8.55%,-2.39%,3175,2707,53.98%,46.02%,7.96%,7.96%,5.47%,-16.51%,-7.86%,-15.29%,-6.85%
Iowa,Winneshiek,"Winneshiek, IA ",4260,6808,38.49%,61.51%,-23.02%,-23.02%,-16.86%,5324,5354,49.86%,50.14%,-0.28%,-0.28%,-2.77%,-22.74%,-14.09%,-22.80%,-14.36%
Iowa,Woodbury,"Woodbury, IA ",20798,20290,50.62%,49.38%,1.24%,1.24%,7.40%,22451,21455,51.13%,48.87%,2.27%,2.27%,-0.22%,-1.03%,7.62%,-1.01%,7.43%
Iowa,Worth,"Worth, IA ",1612,2560,38.64%,61.36%,-22.72%,-22.72%,-16.56%,1795,2286,43.98%,56.02%,-12.03%,-12.03%,-14.52%,-10.69%,-2.04%,-12.15%,-3.71%
Iowa,Wright,"Wright, IA ",3187,3087,50.80%,49.20%,1.59%,1.59%,7.76%,3631,2930,55.34%,44.66%,10.68%,10.68%,8.20%,-9.09%,-0.44%,-8.21%,0.23%
Kansas,Allen,"Allen, KS ",3481,2130,62.04%,37.96%,24.08%,24.08%,30.24%,3867,1922,66.80%,33.20%,33.60%,30.00%,31.11%,-9.52%,-0.87%,-7.13%,1.32%
Kansas,Anderson,"Anderson, KS ",2329,1161,66.73%,33.27%,33.47%,30.00%,39.63%,2500,1295,65.88%,34.12%,31.75%,30.00%,29.26%,1.71%,10.37%,1.30%,9.74%
Kansas,Atchison,"Atchison, KS ",3717,3157,54.07%,45.93%,8.15%,8.15%,14.31%,3880,3120,55.43%,44.57%,10.86%,10.86%,8.37%,-2.71%,5.94%,-2.45%,6.00%
Kansas,Barber,"Barber, KS ",1794,585,75.41%,24.59%,50.82%,30.00%,56.99%,1782,588,75.19%,24.81%,50.38%,30.00%,47.89%,0.44%,9.09%,0.29%,8.74%
Kansas,Barton,"Barton, KS ",7636,2967,72.02%,27.98%,44.03%,30.00%,50.20%,8666,2874,75.10%,24.90%,50.19%,30.00%,47.70%,-6.16%,2.50%,-4.10%,4.34%
Kansas,Bourbon,"Bourbon, KS ",4159,2343,63.96%,36.04%,27.93%,27.93%,34.10%,4372,2216,66.36%,33.64%,32.73%,30.00%,30.24%,-4.80%,3.86%,-3.61%,4.83%
Kansas,Brown,"Brown, KS ",2926,1284,69.50%,30.50%,39.00%,30.00%,45.17%,3092,1268,70.92%,29.08%,41.83%,30.00%,39.35%,-2.83%,5.82%,-2.00%,6.45%
Kansas,Butler,"Butler, KS ",17756,8942,66.51%,33.49%,33.01%,30.00%,39.18%,18438,7495,71.10%,28.90%,42.20%,30.00%,39.71%,-9.18%,-0.53%,-6.46%,1.99%
Kansas,Chase,"Chase, KS ",934,371,71.57%,28.43%,43.14%,30.00%,49.31%,1055,418,71.62%,28.38%,43.25%,30.00%,40.76%,-0.10%,8.55%,-0.07%,8.37%
Kansas,Chautauqua,"Chautauqua, KS ",1396,385,78.38%,21.62%,56.77%,30.00%,62.93%,1529,404,79.10%,20.90%,58.20%,30.00%,55.71%,-1.43%,7.22%,-0.91%,7.54%
Kansas,Cherokee,"Cherokee, KS ",5750,3336,63.28%,36.72%,26.57%,26.57%,32.73%,6083,3726,62.01%,37.99%,24.03%,24.03%,21.54%,2.54%,11.19%,2.05%,10.49%
Kansas,Cheyenne,"Cheyenne, KS ",1247,432,74.27%,25.73%,48.54%,30.00%,54.71%,1353,320,80.87%,19.13%,61.75%,30.00%,59.26%,-13.20%,-4.55%,-8.16%,0.28%
Kansas,Clark,"Clark, KS ",870,241,78.31%,21.69%,56.62%,30.00%,62.78%,1014,257,79.78%,20.22%,59.56%,30.00%,57.07%,-2.94%,5.71%,-1.84%,6.60%
Kansas,Clay,"Clay, KS ",2919,982,74.83%,25.17%,49.65%,30.00%,55.82%,3174,793,80.01%,19.99%,60.02%,30.00%,57.53%,-10.37%,-1.71%,-6.48%,1.97%
Kansas,Cloud,"Cloud, KS ",3070,1213,71.68%,28.32%,43.36%,30.00%,49.52%,3221,1210,72.69%,27.31%,45.38%,30.00%,42.90%,-2.03%,6.63%,-1.39%,7.05%
Kansas,Coffey,"Coffey, KS ",3007,1105,73.13%,26.87%,46.25%,30.00%,52.42%,3259,1093,74.89%,25.11%,49.77%,30.00%,47.28%,-3.52%,5.14%,-2.35%,6.10%
Kansas,Comanche,"Comanche, KS ",756,194,79.58%,20.42%,59.16%,30.00%,65.32%,770,200,79.38%,20.62%,58.76%,30.00%,56.27%,0.40%,9.05%,0.25%,8.69%
Kansas,Cowley,"Cowley, KS ",8263,4859,62.97%,37.03%,25.94%,25.94%,32.11%,9407,4818,66.13%,33.87%,32.26%,30.00%,29.77%,-6.32%,2.33%,-4.78%,3.67%
Kansas,Crawford,"Crawford, KS ",7453,7646,49.36%,50.64%,-1.28%,-1.28%,4.89%,8626,7617,53.11%,46.89%,6.21%,6.21%,3.72%,-7.49%,1.16%,-7.05%,1.39%
Kansas,Decatur,"Decatur, KS ",1189,340,77.76%,22.24%,55.53%,30.00%,61.69%,1355,355,79.24%,20.76%,58.48%,30.00%,55.99%,-2.95%,5.70%,-1.86%,6.58%
Kansas,Dickinson,"Dickinson, KS ",5961,2353,71.70%,28.30%,43.40%,30.00%,49.56%,6295,2364,72.70%,27.30%,45.40%,30.00%,42.91%,-2.00%,6.65%,-1.38%,7.07%
Kansas,Doniphan,"Doniphan, KS ",2336,1077,68.44%,31.56%,36.89%,30.00%,43.05%,2491,1065,70.05%,29.95%,40.10%,30.00%,37.61%,-3.21%,5.44%,-2.29%,6.15%
Kansas,Douglas,"Douglas, KS ",17475,33141,34.52%,65.48%,-30.95%,-30.00%,-24.79%,20544,28634,41.77%,58.23%,-16.45%,-16.45%,-18.94%,-14.50%,-5.85%,-17.36%,-8.91%
Kansas,Edwards,"Edwards, KS ",979,326,75.02%,24.98%,50.04%,30.00%,56.20%,1084,386,73.74%,26.26%,47.48%,30.00%,45.00%,2.56%,11.21%,1.73%,10.18%
Kansas,Elk,"Elk, KS ",1035,359,74.25%,25.75%,48.49%,30.00%,54.66%,1119,369,75.20%,24.80%,50.40%,30.00%,47.92%,-1.91%,6.74%,-1.27%,7.17%
Kansas,Ellis,"Ellis, KS ",8037,3917,67.23%,32.77%,34.47%,30.00%,40.63%,7891,4033,66.18%,33.82%,32.35%,30.00%,29.87%,2.11%,10.76%,1.59%,10.04%
